,tp,fp,fn,recall,precision,f1,acc
サーバーからコマンドを受信し,0.0,1.0,0.0,0.0,0.0,0.0,0.0
threat group-3390,6.0,0.0,0.0,1.0,1.0,1.0,1.0
black vine,111.0,0.0,0.0,1.0,1.0,1.0,1.0
セキュリティ・ジャパン株式会社の,0.0,1.0,0.0,0.0,0.0,0.0,0.0
的英译），目前尚不排除该组织为,0.0,1.0,0.0,0.0,0.0,0.0,0.0
comment group,6.0,0.0,1.0,0.8571428571428571,1.0,0.923076923076923,0.8571428571428571
webc2,0.0,2.0,0.0,0.0,0.0,0.0,0.0
fin10,4.0,0.0,0.0,1.0,1.0,1.0,1.0
dropping elephant,19.0,0.0,1.0,0.95,1.0,0.9743589743589743,0.95
サーバーからのリモート操作を介し,0.0,1.0,0.0,0.0,0.0,0.0,0.0
▪,0.0,2.0,0.0,0.0,0.0,0.0,0.0
した,0.0,1.0,0.0,0.0,0.0,0.0,0.0
pinkpanther,2.0,0.0,1.0,0.6666666666666666,1.0,0.8,0.6666666666666666
の,0.0,1.0,0.0,0.0,0.0,0.0,0.0
の動作概要,0.0,1.0,0.0,0.0,0.0,0.0,0.0
ールの特徴、攻撃スクリプトや,0.0,1.0,0.0,0.0,0.0,0.0,0.0
apt1,572.0,0.0,0.0,1.0,1.0,1.0,1.0
•,0.0,144.0,0.0,0.0,0.0,0.0,0.0
carbanak1,0.0,1.0,0.0,0.0,0.0,0.0,0.0
playful dragon,0.0,1.0,0.0,0.0,0.0,0.0,0.0
tg-0110,3.0,0.0,2.0,0.6,1.0,0.7499999999999999,0.6
或,0.0,1.0,0.0,0.0,0.0,0.0,0.0
scarlet mimic,78.0,0.0,0.0,1.0,1.0,1.0,1.0
buckeye,70.0,0.0,2.0,0.9722222222222222,1.0,0.9859154929577464,0.9722222222222222
明确证据证明跟,0.0,1.0,0.0,0.0,0.0,0.0,0.0
apt10,470.0,0.0,1.0,0.9978768577494692,1.0,0.9989373007438895,0.9978768577494692
’,0.0,86.0,0.0,0.0,0.0,0.0,0.0
winnti group,213.0,0.0,0.0,1.0,1.0,1.0,1.0
numbered panda,17.0,0.0,0.0,1.0,1.0,1.0,1.0
apt16,14.0,0.0,0.0,1.0,1.0,1.0,1.0
，,0.0,3.0,0.0,0.0,0.0,0.0,0.0
,0.0,3.0,0.0,0.0,0.0,0.0,0.0
による攻撃について、攻撃手法やマルウェアに関し,0.0,1.0,0.0,0.0,0.0,0.0,0.0
,0.0,1.0,0.0,0.0,0.0,0.0,0.0
pirpi,56.0,0.0,4.0,0.9333333333333333,1.0,0.9655172413793104,0.9333333333333333
fin7,208.0,0.0,0.0,1.0,1.0,1.0,1.0
に示します。taidoor,0.0,1.0,0.0,0.0,0.0,0.0,0.0
的解密密钥为,0.0,1.0,0.0,0.0,0.0,0.0,0.0
年,0.0,3.0,0.0,0.0,0.0,0.0,0.0
tg-2889,5.0,0.0,0.0,1.0,1.0,1.0,1.0
admin338,0.0,1.0,0.0,0.0,0.0,0.0,0.0
sandworm team,26.0,0.0,0.0,1.0,1.0,1.0,1.0
gcman,6.0,0.0,2.0,0.75,1.0,0.8571428571428571,0.75
ke3chang,203.0,0.0,0.0,1.0,1.0,1.0,1.0
gamaredon group,139.0,0.0,0.0,1.0,1.0,1.0,1.0
‘,0.0,38.0,0.0,0.0,0.0,0.0,0.0
章で,0.0,1.0,0.0,0.0,0.0,0.0,0.0
た,0.0,1.0,0.0,0.0,0.0,0.0,0.0
活動簡報,0.0,1.0,0.0,0.0,0.0,0.0,0.0
tg-4127,2.0,0.0,0.0,1.0,1.0,1.0,1.0
汪东,0.0,1.0,0.0,0.0,0.0,0.0,0.0
axiom,102.0,0.0,2.0,0.9807692307692307,1.0,0.9902912621359222,0.9807692307692307
threat group-0110,0.0,0.0,1.0,0.0,0.0,0.0,0.0
では、日本の組織を標的と,0.0,1.0,0.0,0.0,0.0,0.0,0.0
の解析レポートと比較することで、今回,0.0,1.0,0.0,0.0,0.0,0.0,0.0
platinum,0.0,1.0,0.0,0.0,0.0,0.0,0.0
fin6,44.0,0.0,0.0,1.0,1.0,1.0,1.0
​,0.0,1.0,0.0,0.0,0.0,0.0,0.0
equation,307.0,0.0,8.0,0.9746031746031746,1.0,0.9871382636655948,0.9746031746031746
の機能、遠隔操作による攻撃者の振る舞いの調,0.0,1.0,0.0,0.0,0.0,0.0,0.0
年に初めて確認されたバックドアであり、典型的な攻撃では標的型,0.0,1.0,0.0,0.0,0.0,0.0,0.0
night dragon,97.0,0.0,2.0,0.9797979797979798,1.0,0.989795918367347,0.9797979797979798
相关。但我们并不排除该组织或为,0.0,1.0,0.0,0.0,0.0,0.0,0.0
gothic panda,23.0,0.0,1.0,0.9583333333333334,1.0,0.9787234042553191,0.9583333333333334
の感染までのプロセスについて説明,0.0,1.0,0.0,0.0,0.0,0.0,0.0
ファイルを新規スレッドで実行,0.0,1.0,0.0,0.0,0.0,0.0,0.0
pittytiger,54.0,0.0,0.0,1.0,1.0,1.0,1.0
­,0.0,1.0,0.0,0.0,0.0,0.0,0.0
waterbug,211.0,0.0,1.0,0.9952830188679245,1.0,0.9976359338061466,0.9952830188679245
apt32,117.0,0.0,3.0,0.975,1.0,0.9873417721518987,0.975
guardians of peace,0.0,0.0,11.0,0.0,0.0,0.0,0.0
を使用した攻撃は台湾の政府組織や企業を主,0.0,1.0,0.0,0.0,0.0,0.0,0.0
➍,0.0,1.0,0.0,0.0,0.0,0.0,0.0
the dukes,260.0,0.0,0.0,1.0,1.0,1.0,1.0
oceanlotus,0.0,1.0,0.0,0.0,0.0,0.0,0.0
や,0.0,1.0,0.0,0.0,0.0,0.0,0.0
…,0.0,14.0,0.0,0.0,0.0,0.0,0.0
chinastrats,1.0,0.0,0.0,1.0,1.0,1.0,1.0
admin@338,68.0,0.0,3.0,0.9577464788732394,1.0,0.9784172661870503,0.9577464788732394
of peace,0.0,1.0,0.0,0.0,0.0,0.0,0.0
™,0.0,4.0,0.0,0.0,0.0,0.0,0.0
strider,19.0,0.0,0.0,1.0,1.0,1.0,1.0
今回解析した,0.0,1.0,0.0,0.0,0.0,0.0,0.0
webmasters,4.0,0.0,8.0,0.3333333333333333,1.0,0.5,0.3333333333333333
的,0.0,1.0,0.0,0.0,0.0,0.0,0.0
darkhotel,108.0,0.0,0.0,1.0,1.0,1.0,1.0
taidoor,281.0,0.0,0.0,1.0,1.0,1.0,1.0
”,0.0,425.0,0.0,0.0,0.0,0.0,0.0
misdat,0.0,1.0,0.0,0.0,0.0,0.0,0.0
dyncalc,0.0,0.0,2.0,0.0,0.0,0.0,0.0
ixeshe,131.0,0.0,1.0,0.9924242424242424,1.0,0.9961977186311787,0.9924242424242424
码中添加了一些虚假标识和使用罕见的压缩算法，目的是误导研究人员以为是与,0.0,1.0,0.0,0.0,0.0,0.0,0.0
を用いた標的型攻撃,0.0,1.0,0.0,0.0,0.0,0.0,0.0
梅强,0.0,1.0,0.0,0.0,0.0,0.0,0.0
,0.0,1.0,0.0,0.0,0.0,0.0,0.0
strontium,7.0,0.0,3.0,0.7,1.0,0.8235294117647058,0.7
について説明,0.0,1.0,0.0,0.0,0.0,0.0,0.0
,0.0,2.0,0.0,0.0,0.0,0.0,0.0
cozy bear,27.0,0.0,0.0,1.0,1.0,1.0,1.0
putter panda,58.0,0.0,1.0,0.9830508474576272,1.0,0.9914529914529915,0.9830508474576272
voodoo bear,0.0,1.0,0.0,0.0,0.0,0.0,0.0
equation object,0.0,1.0,0.0,0.0,0.0,0.0,0.0
重叠的部分，也未有,0.0,1.0,0.0,0.0,0.0,0.0,0.0
dragonok,78.0,0.0,0.0,1.0,1.0,1.0,1.0
攻撃を確認しています。これまで,0.0,1.0,0.0,0.0,0.0,0.0,0.0
hdoor,0.0,3.0,0.0,0.0,0.0,0.0,0.0
apt41,0.0,1.0,0.0,0.0,0.0,0.0,0.0
cleaver,167.0,0.0,0.0,1.0,1.0,1.0,1.0
hurricane panda,0.0,1.0,0.0,0.0,0.0,0.0,0.0
を使,0.0,1.0,0.0,0.0,0.0,0.0,0.0
ます。今回解析した,0.0,1.0,0.0,0.0,0.0,0.0,0.0
quedagh,50.0,0.0,0.0,1.0,1.0,1.0,1.0
⚫,0.0,2.0,0.0,0.0,0.0,0.0,0.0
oilrig,156.0,0.0,0.0,1.0,1.0,1.0,1.0
的分支。鉴于此,0.0,1.0,0.0,0.0,0.0,0.0,0.0
emissary panda,57.0,0.0,0.0,1.0,1.0,1.0,1.0
‫,0.0,1.0,0.0,0.0,0.0,0.0,0.0
曝光的方程式组织（equation,0.0,1.0,0.0,0.0,0.0,0.0,0.0
有限公司,0.0,1.0,0.0,0.0,0.0,0.0,0.0
は一般的にバ,0.0,1.0,0.0,0.0,0.0,0.0,0.0
tsar team,8.0,0.0,0.0,1.0,1.0,1.0,1.0
（,0.0,1.0,0.0,0.0,0.0,0.0,0.0
stone panda,39.0,0.0,0.0,1.0,1.0,1.0,1.0
−−,0.0,3.0,0.0,0.0,0.0,0.0,0.0
◦,0.0,1.0,0.0,0.0,0.0,0.0,0.0
别名,0.0,1.0,0.0,0.0,0.0,0.0,0.0
は,0.0,1.0,0.0,0.0,0.0,0.0,0.0
,0.0,3.0,0.0,0.0,0.0,0.0,0.0
msupdater,7.0,0.0,1.0,0.875,1.0,0.9333333333333333,0.875
：,0.0,1.0,0.0,0.0,0.0,0.0,0.0
sea lotus,0.0,1.0,0.0,0.0,0.0,0.0,0.0
winnti malware,0.0,1.0,0.0,0.0,0.0,0.0,0.0
red apollo,7.0,0.0,0.0,1.0,1.0,1.0,1.0
apt3,180.0,0.0,0.0,1.0,1.0,1.0,1.0
dragonfly,122.0,0.0,0.0,1.0,1.0,1.0,1.0
月,0.0,2.0,0.0,0.0,0.0,0.0,0.0
の検体の動作概要を図,0.0,1.0,0.0,0.0,0.0,0.0,0.0
blackfly,8.0,0.0,0.0,1.0,1.0,1.0,1.0
年揭露的,0.0,1.0,0.0,0.0,0.0,0.0,0.0
を使用する検体も報告されています,0.0,1.0,0.0,0.0,0.0,0.0,0.0
sednit,454.0,0.0,0.0,1.0,1.0,1.0,1.0
.,0.0,1.0,0.0,0.0,0.0,0.0,0.0
hidden cobra,69.0,0.0,0.0,1.0,1.0,1.0,1.0
図,0.0,1.0,0.0,0.0,0.0,0.0,0.0
fancy bear,77.0,0.0,0.0,1.0,1.0,1.0,1.0
ошибка,0.0,1.0,0.0,0.0,0.0,0.0,0.0
、,0.0,3.0,0.0,0.0,0.0,0.0,0.0
tg-3390,184.0,0.0,0.0,1.0,1.0,1.0,1.0
evilnum,0.0,1.0,0.0,0.0,0.0,0.0,0.0
menupass,289.0,0.0,3.0,0.9897260273972602,1.0,0.9948364888123925,0.9897260273972602
,0.0,1.0,0.0,0.0,0.0,0.0,0.0
検体との違いについても言及します。最後,0.0,1.0,0.0,0.0,0.0,0.0,0.0
hangover threat,0.0,1.0,0.0,0.0,0.0,0.0,0.0
guardians of,0.0,10.0,0.0,0.0,0.0,0.0,0.0
deep panda,195.0,0.0,0.0,1.0,1.0,1.0,1.0
砂嵐大作戦,0.0,1.0,0.0,0.0,0.0,0.0,0.0
turla,1011.0,0.0,0.0,1.0,1.0,1.0,1.0
lazarus group[1,0.0,1.0,0.0,0.0,0.0,0.0,0.0
日,0.0,1.0,0.0,0.0,0.0,0.0,0.0
apt17,44.0,0.0,1.0,0.9777777777777777,1.0,0.9887640449438202,0.9777777777777777
。,0.0,4.0,0.0,0.0,0.0,0.0,0.0
poseidon group,23.0,0.0,0.0,1.0,1.0,1.0,1.0
dust storm,40.0,0.0,0.0,1.0,1.0,1.0,1.0
wet panda,0.0,1.0,0.0,0.0,0.0,0.0,0.0
日本の組織を標的とした,0.0,1.0,0.0,0.0,0.0,0.0,0.0
“,0.0,461.0,0.0,0.0,0.0,0.0,0.0
equation editor,0.0,2.0,0.0,0.0,0.0,0.0,0.0
carbanak,401.0,0.0,0.0,1.0,1.0,1.0,1.0
operation hangover,187.0,0.0,0.0,1.0,1.0,1.0,1.0
■,0.0,19.0,0.0,0.0,0.0,0.0,0.0
coreshell,0.0,1.0,0.0,0.0,0.0,0.0,0.0
においても,0.0,1.0,0.0,0.0,0.0,0.0,0.0
стрекозов,0.0,1.0,0.0,0.0,0.0,0.0,0.0
の検体の解析結果を説明します,0.0,1.0,0.0,0.0,0.0,0.0,0.0
攻撃者は,0.0,2.0,0.0,0.0,0.0,0.0,0.0
moafee,32.0,0.0,1.0,0.9696969696969697,1.0,0.9846153846153847,0.9696969696969697
winnti and,0.0,2.0,0.0,0.0,0.0,0.0,0.0
poseidon’s,0.0,1.0,0.0,0.0,0.0,0.0,0.0
temper panda,0.0,2.0,0.0,0.0,0.0,0.0,0.0
group5,168.0,0.0,1.0,0.9940828402366864,1.0,0.9970326409495549,0.9940828402366864
dynamite panda,5.0,0.0,0.0,1.0,1.0,1.0,1.0
poison ivy,0.0,11.0,0.0,0.0,0.0,0.0,0.0
ups team,3.0,0.0,2.0,0.6,1.0,0.7499999999999999,0.6
chches,0.0,1.0,0.0,0.0,0.0,0.0,0.0
lotus blossom,112.0,0.0,0.0,1.0,1.0,1.0,1.0
但是，从样本、基础设施等分析来看，我们并未发现有跟,0.0,1.0,0.0,0.0,0.0,0.0,0.0
shell crew,5.0,0.0,0.0,1.0,1.0,1.0,1.0
nightshade panda,0.0,2.0,0.0,0.0,0.0,0.0,0.0
