,tp,fp,fn,recall,precision,f1,acc
ddos,0.0,2.0,0.0,0.0,0.0,0.0,0.0
deputy minister,0.0,1.0,0.0,0.0,0.0,0.0,0.0
wizard,0.0,1.0,0.0,0.0,0.0,0.0,0.0
hacking team,0.0,1.0,0.0,0.0,0.0,0.0,0.0
dyncalc,0.0,0.0,2.0,0.0,0.0,0.0,0.0
chinastrats,0.0,0.0,1.0,0.0,0.0,0.0,0.0
whois team,0.0,1.0,0.0,0.0,0.0,0.0,0.0
insikt group,0.0,1.0,0.0,0.0,0.0,0.0,0.0
threat group-3390,0.0,0.0,6.0,0.0,0.0,0.0,0.0
into thousands,0.0,10.0,0.0,0.0,0.0,0.0,0.0
quedagh,50.0,0.0,0.0,1.0,1.0,1.0,1.0
admin@338,71.0,0.0,0.0,1.0,1.0,1.0,1.0
venomous bear,0.0,5.0,0.0,0.0,0.0,0.0,0.0
gcman,7.0,0.0,1.0,0.875,1.0,0.9333333333333333,0.875
pitty panda,0.0,1.0,0.0,0.0,0.0,0.0,0.0
apt33,0.0,2.0,0.0,0.0,0.0,0.0,0.0
exfiltration,0.0,1.0,0.0,0.0,0.0,0.0,0.0
blizko,0.0,1.0,0.0,0.0,0.0,0.0,0.0
dragonfly,120.0,0.0,2.0,0.9836065573770492,1.0,0.9917355371900827,0.9836065573770492
buckeye tool,0.0,1.0,0.0,0.0,0.0,0.0,0.0
oceanlotus group,28.0,0.0,0.0,1.0,1.0,1.0,1.0
officials,0.0,1.0,0.0,0.0,0.0,0.0,0.0
winnti malware,0.0,3.0,0.0,0.0,0.0,0.0,0.0
pinkpanther,0.0,0.0,3.0,0.0,0.0,0.0,0.0
temper panda,0.0,2.0,0.0,0.0,0.0,0.0,0.0
cleaver,164.0,0.0,3.0,0.9820359281437125,1.0,0.9909365558912386,0.9820359281437125
webc2,0.0,9.0,0.0,0.0,0.0,0.0,0.0
darkhotel,105.0,0.0,2.0,0.9813084112149533,1.0,0.9905660377358491,0.9813084112149533
taidoor,280.0,0.0,1.0,0.99644128113879,1.0,0.9982174688057042,0.99644128113879
numbered panda,16.0,0.0,1.0,0.9411764705882353,1.0,0.9696969696969697,0.9411764705882353
forgotten domain,0.0,1.0,0.0,0.0,0.0,0.0,0.0
poisonivy,0.0,5.0,0.0,0.0,0.0,0.0,0.0
energetic bear,56.0,0.0,1.0,0.9824561403508771,1.0,0.9911504424778761,0.9824561403508771
dtoptoolz,0.0,1.0,0.0,0.0,0.0,0.0,0.0
chasing turla,0.0,1.0,0.0,0.0,0.0,0.0,0.0
dynamite panda,4.0,0.0,1.0,0.8,1.0,0.888888888888889,0.8
kungfu kittens,0.0,0.0,5.0,0.0,0.0,0.0,0.0
winnti 3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
menupass,282.0,0.0,9.0,0.9690721649484536,1.0,0.9842931937172774,0.9690721649484536
wang dong,0.0,1.0,0.0,0.0,0.0,0.0,0.0
ussr,0.0,1.0,0.0,0.0,0.0,0.0,0.0
apt27,0.0,9.0,0.0,0.0,0.0,0.0,0.0
ole2,0.0,2.0,0.0,0.0,0.0,0.0,0.0
ryuk group,0.0,4.0,0.0,0.0,0.0,0.0,0.0
kurt baumgartner,0.0,1.0,0.0,0.0,0.0,0.0,0.0
winnti-,0.0,1.0,0.0,0.0,0.0,0.0,0.0
keyboy,0.0,1.0,0.0,0.0,0.0,0.0,0.0
gh0st,0.0,2.0,0.0,0.0,0.0,0.0,0.0
pawn,0.0,2.0,0.0,0.0,0.0,0.0,0.0
epic,0.0,30.0,0.0,0.0,0.0,0.0,0.0
berserk bear,0.0,2.0,0.0,0.0,0.0,0.0,0.0
fakem custom,0.0,2.0,0.0,0.0,0.0,0.0,0.0
oilrig,150.0,0.0,6.0,0.9615384615384616,1.0,0.9803921568627451,0.9615384615384616
ryuk,0.0,1.0,0.0,0.0,0.0,0.0,0.0
carbanak,399.0,0.0,2.0,0.9950124688279302,1.0,0.9974999999999999,0.9950124688279302
tg-3390,184.0,0.0,0.0,1.0,1.0,1.0,1.0
stuxnet group,0.0,1.0,0.0,0.0,0.0,0.0,0.0
sandworm team,22.0,0.0,4.0,0.8461538461538461,1.0,0.9166666666666666,0.8461538461538461
lebanese group,0.0,1.0,0.0,0.0,0.0,0.0,0.0
lotus panda,0.0,2.0,0.0,0.0,0.0,0.0,0.0
the hangover,0.0,2.0,0.0,0.0,0.0,0.0,0.0
hdoor,0.0,4.0,0.0,0.0,0.0,0.0,0.0
attacks3 symantec,0.0,1.0,0.0,0.0,0.0,0.0,0.0
itg12,0.0,2.0,0.0,0.0,0.0,0.0,0.0
the dukes,260.0,0.0,0.0,1.0,1.0,1.0,1.0
nightshade panda,0.0,3.0,0.0,0.0,0.0,0.0,0.0
3para,0.0,2.0,0.0,0.0,0.0,0.0,0.0
apt3,179.0,0.0,1.0,0.9944444444444445,1.0,0.9972144846796658,0.9944444444444445
apt38,0.0,3.0,0.0,0.0,0.0,0.0,0.0
vixen panda,0.0,5.0,0.0,0.0,0.0,0.0,0.0
alienvault labs,0.0,1.0,0.0,0.0,0.0,0.0,0.0
sys10,0.0,2.0,0.0,0.0,0.0,0.0,0.0
2015­07­07,0.0,1.0,0.0,0.0,0.0,0.0,0.0
powershell rat,0.0,1.0,0.0,0.0,0.0,0.0,0.0
github,0.0,2.0,0.0,0.0,0.0,0.0,0.0
espionage equation,0.0,2.0,0.0,0.0,0.0,0.0,0.0
blackberry cylance,0.0,1.0,0.0,0.0,0.0,0.0,0.0
fin10,4.0,0.0,0.0,1.0,1.0,1.0,1.0
blackenergy &,0.0,15.0,0.0,0.0,0.0,0.0,0.0
moafee,30.0,0.0,3.0,0.9090909090909091,1.0,0.9523809523809523,0.9090909090909091
evilpost,0.0,1.0,0.0,0.0,0.0,0.0,0.0
sig2,0.0,1.0,0.0,0.0,0.0,0.0,0.0
ixeshe,132.0,0.0,0.0,1.0,1.0,1.0,1.0
last post,0.0,1.0,0.0,0.0,0.0,0.0,0.0
java,0.0,1.0,0.0,0.0,0.0,0.0,0.0
zinc emerson,0.0,1.0,0.0,0.0,0.0,0.0,0.0
tarh andishan/,0.0,2.0,0.0,0.0,0.0,0.0,0.0
night dragon,97.0,0.0,2.0,0.9797979797979798,1.0,0.989795918367347,0.9797979797979798
apt17,45.0,0.0,0.0,1.0,1.0,1.0,1.0
emissary,0.0,31.0,0.0,0.0,0.0,0.0,0.0
strider,19.0,0.0,0.0,1.0,1.0,1.0,1.0
cvnx,8.0,0.0,0.0,1.0,1.0,1.0,1.0
msupdater,7.0,0.0,1.0,0.875,1.0,0.9333333333333333,0.875
malicious equation,0.0,2.0,0.0,0.0,0.0,0.0,0.0
chches,0.0,8.0,0.0,0.0,0.0,0.0,0.0
emissary panda,57.0,0.0,0.0,1.0,1.0,1.0,1.0
pittytiger,50.0,0.0,4.0,0.9259259259259259,1.0,0.9615384615384615,0.9259259259259259
nanocore,0.0,3.0,0.0,0.0,0.0,0.0,0.0
wefwe3223wfdsf,0.0,1.0,0.0,0.0,0.0,0.0,0.0
apt10,471.0,0.0,0.0,1.0,1.0,1.0,1.0
group5,168.0,0.0,1.0,0.9940828402366864,1.0,0.9970326409495549,0.9940828402366864
wicked panda,0.0,5.0,0.0,0.0,0.0,0.0,0.0
ncc group,0.0,1.0,0.0,0.0,0.0,0.0,0.0
dragonok,78.0,0.0,0.0,1.0,1.0,1.0,1.0
hoover’s29,0.0,1.0,0.0,0.0,0.0,0.0,0.0
hurricane panda,0.0,1.0,0.0,0.0,0.0,0.0,0.0
pirpi,56.0,0.0,4.0,0.9333333333333333,1.0,0.9655172413793104,0.9333333333333333
comrat v4,0.0,3.0,0.0,0.0,0.0,0.0,0.0
iron tiger,0.0,1.0,0.0,0.0,0.0,0.0,0.0
stage3,0.0,2.0,0.0,0.0,0.0,0.0,0.0
winnti is,0.0,2.0,0.0,0.0,0.0,0.0,0.0
sig1,0.0,1.0,0.0,0.0,0.0,0.0,0.0
rootkit,0.0,34.0,0.0,0.0,0.0,0.0,0.0
poison ivy,0.0,17.0,0.0,0.0,0.0,0.0,0.0
turla,992.0,0.0,18.0,0.9821782178217822,1.0,0.991008991008991,0.9821782178217822
naikon,361.0,0.0,1.0,0.9972375690607734,1.0,0.9986168741355463,0.9972375690607734
york city,0.0,3.0,0.0,0.0,0.0,0.0,0.0
fin6,44.0,0.0,0.0,1.0,1.0,1.0,1.0
menupass group,0.0,1.0,0.0,0.0,0.0,0.0,0.0
kaza cybergang,0.0,1.0,0.0,0.0,0.0,0.0,0.0
with upgrades,0.0,1.0,0.0,0.0,0.0,0.0,0.0
waterbug,211.0,0.0,1.0,0.9952830188679245,1.0,0.9976359338061466,0.9952830188679245
sys10”,0.0,1.0,0.0,0.0,0.0,0.0,0.0
havex,0.0,1.0,0.0,0.0,0.0,0.0,0.0
bronze riverside,0.0,1.0,0.0,0.0,0.0,0.0,0.0
winnti.,0.0,1.0,0.0,0.0,0.0,0.0,0.0
blackenergy 2,0.0,2.0,0.0,0.0,0.0,0.0,0.0
autofocus,0.0,1.0,0.0,0.0,0.0,0.0,0.0
htran tool,0.0,2.0,0.0,0.0,0.0,0.0,0.0
gaza hackers,0.0,2.0,0.0,0.0,0.0,0.0,0.0
fin7,206.0,0.0,2.0,0.9903846153846154,1.0,0.9951690821256038,0.9903846153846154
alex drozhzhin,0.0,1.0,0.0,0.0,0.0,0.0,0.0
gamaredon group,139.0,0.0,0.0,1.0,1.0,1.0,1.0
equation group,0.0,1.0,0.0,0.0,0.0,0.0,0.0
"kaba,",0.0,1.0,0.0,0.0,0.0,0.0,0.0
sans,0.0,1.0,0.0,0.0,0.0,0.0,0.0
lotus blossom,110.0,0.0,2.0,0.9821428571428571,1.0,0.9909909909909909,0.9821428571428571
axiom,103.0,0.0,1.0,0.9903846153846154,1.0,0.9951690821256038,0.9903846153846154
byzantine,0.0,1.0,0.0,0.0,0.0,0.0,0.0
cobalt group,0.0,1.0,0.0,0.0,0.0,0.0,0.0
voodoo bear,0.0,2.0,0.0,0.0,0.0,0.0,0.0
lateral movement,0.0,1.0,0.0,0.0,0.0,0.0,0.0
htran,0.0,1.0,0.0,0.0,0.0,0.0,0.0
operation molerats,0.0,0.0,3.0,0.0,0.0,0.0,0.0
byzantine candor,0.0,4.0,0.0,0.0,0.0,0.0,0.0
wet panda,0.0,1.0,0.0,0.0,0.0,0.0,0.0
putter panda,59.0,0.0,0.0,1.0,1.0,1.0,1.0
molerats,50.0,3.0,6.0,0.8928571428571429,0.9433962264150944,0.9174311926605505,0.8928571428571429
apt2,1.0,0.0,0.0,1.0,1.0,1.0,1.0
stone panda,38.0,0.0,1.0,0.9743589743589743,1.0,0.9870129870129869,0.9743589743589743
animal farm,0.0,2.0,0.0,0.0,0.0,0.0,0.0
−− thirteen,0.0,1.0,0.0,0.0,0.0,0.0,0.0
anchor panda,0.0,1.0,0.0,0.0,0.0,0.0,0.0
shell crew,3.0,0.0,2.0,0.6,1.0,0.7499999999999999,0.6
%system32%\com,0.0,1.0,0.0,0.0,0.0,0.0,0.0
evilgrab,0.0,2.0,0.0,0.0,0.0,0.0,0.0
